regret,cumregret,paramerror,hparamerror,kparamerror,featerror,context,action,reward
0.7908836805145172,0.7908836805145172,0.9120492060602515,0.3800637186762308,0.8290870424877776,13.370532153775265,23,2,-0.07781384158628868
0.03980391399582944,0.8306875945103467,0.9665729118443617,0.4810546477345448,0.8383612704581963,13.370593620683799,4,4,0.32764774739325486
1.3504357386171937,2.18112333312754,0.7652199085846981,0.4809856274335445,0.5951590835203082,13.37059317464168,6,3,-0.5193578796199116
0.37040969974623794,2.551533032873778,0.6619622999947196,0.48098130603944883,0.4548088278110762,13.370593199345524,24,2,0.48307069199906516
0.360880686432819,2.912413719306597,0.6423356326752288,0.48098044213124275,0.42573804069112814,13.370593140979226,76,8,0.47621957994489894
0.4244529349678547,3.3368666542744516,0.6060256385673645,0.4809801362084345,0.36868032653492333,13.370593141571106,4,0,-0.028229291373134097
-5.551115123125783e-17,3.3368666542744516,0.5329188950113066,0.48098000831105375,0.22947936784201461,13.370593132836843,49,7,0.4073450362481005
0.12740787585111762,3.4642745301255693,0.5271908029851095,0.4809802295296601,0.21584290943572815,13.370593145782207,26,0,0.07165179053744486
0.7739979569922928,4.238272487117862,0.5244182363728864,0.48098156607675024,0.2089766009265278,13.37059328579553,7,2,-0.23079537957941718
0.5593775763020341,4.797650063419896,0.522443400759874,0.4809887495801146,0.20395325389632823,13.370593664624076,64,6,0.15080249540697738
0.37040969974623794,5.168059763166134,0.535377802532272,0.48101260599567014,0.2350665104125608,13.370595126032972,24,2,0.5215111909469903
0.0,5.168059763166134,0.5283440123740842,0.48110389016042604,0.21837225621413348,13.37060205870337,70,0,0.23633353022369682
-1.1102230246251565e-16,5.168059763166134,0.5452567966371338,0.4814700446027089,0.25591320878230195,13.370626456664686,54,9,0.6390603674134533
0.20662525529281173,5.374685018458946,0.5333446172124553,0.48325396688168176,0.22565922139947844,13.370840950169109,31,5,0.33076699690596045
0.0,5.374685018458946,0.5422558573343232,0.4976247664046659,0.2154321393712728,13.372094922608026,60,9,0.3679694384472304
0.07647672854853016,5.451161747007476,0.7459671228664014,0.710775468180333,0.22641815790833836,13.383445985003613,69,8,0.6625518560602486
0.09272413568360427,5.543885882691081,0.9090879902662936,0.8805296034662539,0.22607209351437116,13.387097154312055,26,4,0.08541070708514456
0.03056359746619297,5.5744494801572735,0.9520834409678959,0.9251292091312542,0.22494182576268237,13.391959152996476,10,2,0.6291131494014864
-2.220446049250313e-16,5.5744494801572735,0.9175713767347446,0.8845859848085416,0.24381318029015023,13.401680378118682,23,1,0.8387461220745277
0.0,5.5744494801572735,0.9807992537701505,0.9507482712808936,0.24092509386213082,13.403215328888775,86,5,0.6676563612476631
0.0,5.5744494801572735,1.0347689232122979,1.002252187231495,0.2573660382327537,13.406138742502362,17,4,0.3459019675838423
-1.1102230246251565e-16,5.5744494801572735,0.9941633833880402,0.9674198569385609,0.22904072404384693,13.40972300680444,21,0,0.6027856085791132
-1.1102230246251565e-16,5.5744494801572735,1.024926162485488,0.9988708785429987,0.22963145809310875,13.411839367643097,5,7,0.4606306962960505
5.551115123125783e-17,5.5744494801572735,1.0542224155577868,1.0258268645002733,0.24303116165223074,13.413067456858043,12,2,0.4629894675791883
0.18398611399362175,5.758435594150895,1.0565154205415292,1.0295186931486542,0.23731012262339693,13.412034352266888,20,4,0.37658737960301475
0.0,5.758435594150895,1.0183264140003847,0.9879869227242636,0.2467195289731293,13.422544955742035,11,6,0.6826890434206723
