regret,cumregret,paramerror,context,action,reward
0.2578071898076174,0.2578071898076174,0.9099964505077102,77,0,-0.02624995549873356
-5.551115123125783e-17,0.25780718980761735,0.9120305623389029,84,5,0.20255018994741925
0.6658529373570538,0.9236601271646712,0.9105596531949798,82,7,-0.1835238369147607
0.29252532267152476,1.216185449836196,0.8917257917941155,75,5,0.2621101526223682
0.46262390183399754,1.6788093516701934,0.8693582625120785,81,7,0.09900090530148324
0.511179287908544,2.189988639578737,0.8709072733133587,79,6,0.17868084419935013
0.5711698363126788,2.761158475891416,0.865289756860185,76,9,0.11004989698758706
0.0,2.761158475891416,0.879734829516739,29,6,0.8551922261311724
0.42161020641208624,3.1827686823035024,0.3284438525547553,67,7,0.09885568100870415
0.10324188340787083,3.2860105657113734,0.34535908749688593,33,8,0.2840062901468702
0.4999803014607886,3.785990867172162,0.2078233343741157,62,0,-0.03903832983437531
-1.1102230246251565e-16,3.785990867172162,0.23408349269484208,55,0,0.4359124777573095
-1.1102230246251565e-16,3.785990867172162,0.2512647474612485,16,9,0.6307536433766472
0.019240979647082268,3.805231846819244,0.22833790248501634,72,3,0.6109215034086977
1.1102230246251565e-16,3.805231846819244,0.22508984577599075,13,5,0.34403266329494175
0.043697418515254216,3.8489292653344984,0.20846879151787576,62,4,0.4706800632935441
0.1318214622000723,3.980750727534571,0.23957555532521083,70,4,0.09591178712274284
0.0,3.980750727534571,0.24364102747156452,25,2,0.18754080658788858
0.22196956091515796,4.202720288449729,0.2805319023392746,12,0,0.4531796706566733
0.09447343767039862,4.297193726120128,0.2795372894507423,63,1,0.44281454649442104
-5.551115123125783e-17,4.297193726120128,0.27964437983323914,27,1,0.4294423356492303
0.3342801195518992,4.631473845672026,0.26781892582980277,41,0,0.06691682374113357
0.04393365886359479,4.675407504535621,0.263042544966091,42,3,0.4902193823538935
0.07143089539993303,4.746838399935554,0.2558696375231036,91,2,0.2016125582287693
1.1102230246251565e-16,4.746838399935554,0.26972623525794326,6,9,0.4024215582265207
