regret,cumregret,paramerror,context,action,reward
0.0,5.3778571177697225,0.08084641474887272,23,8,0.6502586568895777
0.0,5.3778571177697225,0.08140573373759231,17,5,0.6174254188568569
0.0,5.3778571177697225,0.0798869183254593,38,2,0.666480162601955
-1.1102230246251565e-16,5.3778571177697225,0.07969719313417593,60,0,0.49088423242718304
0.0,5.3778571177697225,0.08573037957643176,65,5,0.182475643264287
0.0,5.3778571177697225,0.08591596852951466,91,1,0.5295176154173931
-1.1102230246251565e-16,5.3778571177697225,0.08594623130013662,66,4,0.5403114129793267
0.0,5.3778571177697225,0.08425713735938631,57,6,0.421447572408724
0.0021687459778008122,5.380025863747523,0.08388077845681441,8,8,0.45769045559104204
0.0,5.380025863747523,0.08388862952126094,93,0,0.1809253271552466
-1.1102230246251565e-16,5.380025863747523,0.08023493727749972,2,0,0.43291952250240473
0.0,5.380025863747523,0.08016518058361533,24,8,0.31831220463963117
0.0,5.380025863747523,0.0822106934560954,58,2,0.6806152224194433
-1.1102230246251565e-16,5.380025863747523,0.07252087280578295,66,4,0.5021835177817104
0.015595149170863576,5.395621012918387,0.07105561331394511,80,8,0.3374599974379928
-5.551115123125783e-17,5.395621012918387,0.07096352385137272,87,0,0.0598265998681069
0.0,5.395621012918387,0.07390739710016975,94,7,0.5461922001567114
0.0,5.395621012918387,0.07646916214315458,13,2,0.17231998454294356
0.015595149170863576,5.41121616208925,0.07595727988029206,80,8,0.33644815457290245
0.0,5.41121616208925,0.07548451442853782,86,2,0.38326548540361005
-1.1102230246251565e-16,5.41121616208925,0.077776860489532,60,0,0.7890193015128245
0.0,5.41121616208925,0.06966015039107804,84,9,1.014232059603988
-5.551115123125783e-17,5.41121616208925,0.08291509369534833,20,0,0.28627071877948035
-5.551115123125783e-17,5.41121616208925,0.08301620840793446,9,2,0.3248184475529867
0.0,5.41121616208925,0.08332309218077377,43,8,0.3583485776882921
-5.551115123125783e-17,5.41121616208925,0.0837558462774084,53,9,0.45196070958714135
0.0,5.41121616208925,0.08292912922214923,55,2,0.3952385779668964
0.0,5.41121616208925,0.0848910153373959,46,6,0.6912513245042641
0.0,5.41121616208925,0.08334168573672954,85,4,0.5356092294337991
0.0,5.41121616208925,0.08370078453377927,36,7,0.4740122818882485
0.0,5.41121616208925,0.08506785469356064,68,2,0.6640734774868235
5.551115123125783e-17,5.41121616208925,0.0858352654168463,97,7,0.45519299740217156
-5.551115123125783e-17,5.41121616208925,0.08583361460223356,87,0,0.34977895835645845
0.003363289106826539,5.414579451196077,0.08571267287053176,51,5,0.2864647288694807
5.551115123125783e-17,5.414579451196077,0.08600972242205433,12,7,0.3898683391158811
5.551115123125783e-17,5.414579451196077,0.08447452868945637,1,3,0.5496374741800087
0.0,5.414579451196077,0.08461981066125977,68,2,0.7863955756661922
5.551115123125783e-17,5.414579451196077,0.0835149977521165,0,7,0.3986001964527004
1.1102230246251565e-16,5.414579451196077,0.08250771571075888,41,4,0.5463504083512006
0.0,5.414579451196077,0.08255304036855698,78,9,0.5615368452601415
0.0,5.414579451196077,0.08356723206976487,58,2,0.48197510803930926
0.009897548256695754,5.424476999452772,0.0836437713502781,57,0,0.4785714894056263
-1.1102230246251565e-16,5.424476999452772,0.08356714641394054,60,0,0.6463733866309083
-1.1102230246251565e-16,5.424476999452772,0.08255357138106187,47,9,0.614345860132731
0.0,5.424476999452772,0.08189675844041516,82,6,0.5564920252415763
0.0,5.424476999452772,0.08276703093696025,44,3,0.39705505229174093
1.1102230246251565e-16,5.424476999452772,0.08421175854317288,89,7,0.24848394583748196
1.1102230246251565e-16,5.424476999452772,0.08169716451854755,89,7,0.5485480497888325
5.551115123125783e-17,5.424476999452772,0.0818934044863069,75,2,0.3901213439175215
0.008052970395834913,5.432529969848607,0.08115813561656783,50,8,0.41435728150253487
0.040925699655022685,5.47345566950363,0.07567620669948084,64,5,0.2920816933625199
0.0,5.47345566950363,0.07105726623658448,83,3,0.6094084457340216
5.551115123125783e-17,5.47345566950363,0.06874152555830962,96,8,0.07236601993720329
0.010134945596844358,5.483590615100474,0.06956135379250097,95,6,0.5358004789781937
-5.551115123125783e-17,5.483590615100474,0.07030879378900698,56,5,0.4278886042557186
1.1102230246251565e-16,5.483590615100474,0.07079798578673852,41,4,0.5394529691429578
5.551115123125783e-17,5.483590615100474,0.0711636747271747,97,7,0.4405675434777875
0.0,5.483590615100474,0.07154163751214727,69,6,0.612269614219954
0.0,5.483590615100474,0.07156485030552259,71,2,0.8298972602821859
0.0,5.483590615100474,0.06869134149703321,24,8,0.26858692535066897
5.551115123125783e-17,5.483590615100474,0.0730399470948197,3,6,-0.003387893659411917
0.0,5.483590615100474,0.0731089685008761,94,7,0.32667732004653743
